orderNumber,productCode,quantityOrdered,priceEach,orderLineNumber,Product,Sales,CustomerNumber,CustomerName,CustomerCountry,CustomerCity,customer_order_status,cust_fname,cust_lname,cust_state,product_vender,order_date,Revenue
10110,S18_2795,31,163.69,1,1928 Mercedes-Benz SSK,"5,074.39",187,"AV Stores, Co.",UK,Manchester,Shipped,Rachel,Ashworth,NULL,Gearbox Collectibles,18-Mar-03,10074.39
10111,S18_3136,43,94.25,1,18th Century Vintage Horse Carriage,"4,052.75",129,Mini Wheels Co.,USA,San Francisco,Shipped,Julie,Murphy,CA,Red Start Diecast,25-Mar-03,9052.75
10112,S10_1949,29,197.16,1,1952 Alpine Renault 1300,"5,717.64",144,"Volvo Model Replicas, Co",Sweden,Luleå,Shipped,Christina,Berglund,NULL,Classic Metal Creations,24-Mar-03,10717.64
10113,S32_3522,23,58.82,1,1996 Peterbilt 379 Stake Bed with Outrigger,"1,352.86",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Red Start Diecast,26-Mar-03,6352.86
10114,S24_2840,24,28.64,1,1958 Chevy Corvette Limited Edition,687.36,172,"La Corne D'abondance, Co.",France,Paris,Shipped,Marie,Bertrand,NULL,Carousel DieCast Legends,1-Apr-03,5687.36
10115,S24_4048,44,106.45,1,1992 Porsche Cayenne Turbo Silver,"4,683.80",424,Classic Legends Inc.,USA,NYC,Shipped,Maria,Hernandez,NY,Exoto Designs,4-Apr-03,9683.8
10116,S32_3207,27,60.28,1,1950's Chicago Surface Lines Streetcar,"1,627.56",381,Royale Belge,Belgium,Charleroi,Shipped,Pascale,Cartrain,NULL,Gearbox Collectibles,11-Apr-03,6627.56
10117,S700_3962,45,89.38,1,The Queen Mary,"4,022.10",148,"Dragon Souveniers, Ltd.",Singapore,Singapore,Shipped,Eric,Natividad,NULL,Welly Diecast Productions,16-Apr-03,9022.1
10118,S700_3505,36,86.15,1,The Titanic,"3,101.40",216,Enaco Distributors,Spain,Barcelona,Shipped,Eduardo,Saavedra,NULL,Carousel DieCast Legends,21-Apr-03,8101.4
10119,S700_4002,26,63.67,1,American Airlines: MD-11S,"1,655.42",382,Salzburg Collectables,Austria,Salzburg,Shipped,Georg,Pipps,NULL,Second Gear Diecast,28-Apr-03,6655.42
10120,S24_1578,35,110.45,1,1997 BMW R 1100 S,"3,865.75",114,"Australian Collectors, Co.",Australia,Melbourne,Shipped,Peter,Ferguson,Victoria,Autoart Studio Design,29-Apr-03,8865.75
10121,S50_4713,44,72.41,1,2002 Yamaha YZR M1,"3,186.04",353,Reims Collectables,France,Reims,Shipped,Paul,Henriot,NULL,Autoart Studio Design,7-May-03,8186.04
10122,S18_1984,31,113.8,1,1995 Honda Civic,"3,527.80",350,Marseille Mini Autos,France,Marseille,Shipped,Laurence,Lebihan,NULL,Min Lin Diecast,8-May-03,8527.8
10123,S24_1628,50,43.27,1,1966 Shelby Cobra 427 S/C,"2,163.50",103,Atelier graphique,France,Nantes,Shipped,Carine,Schmitt,NULL,Carousel DieCast Legends,20-May-03,7163.5
10124,S24_2022,22,36.29,1,1938 Cadillac V-16 Presidential Limousine,798.38,112,Signal Gift Stores,USA,Las Vegas,Shipped,Jean,King,NV,Classic Metal Creations,21-May-03,5798.38
10125,S18_1342,32,89.38,1,1937 Lincoln Berline,"2,860.16",114,"Australian Collectors, Co.",Australia,Melbourne,Shipped,Peter,Ferguson,Victoria,Motor City Art Classics,21-May-03,7860.16
10126,S24_2300,27,122.68,1,1962 Volkswagen Microbus,"3,312.36",458,"Corrida Auto Replicas, Ltd",Spain,Madrid,Shipped,Martín,Sommer,NULL,Autoart Studio Design,28-May-03,8312.36
10127,S12_3891,42,169.56,1,1969 Ford Falcon,"7,121.52",151,Muscle Machine Inc,USA,NYC,Shipped,Jeff,Young,NY,Second Gear Diecast,3-Jun-03,12121.52
10128,S18_4522,43,77.24,1,1904 Buick Runabout,"3,321.32",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Exoto Designs,6-Jun-03,8321.32
10129,S24_3816,50,76.31,1,1940 Ford Delivery Sedan,"3,815.50",324,"Stylish Desk Decors, Co.",UK,London,Shipped,Ann,Brown,NULL,Carousel DieCast Legends,12-Jun-03,8815.5
10130,S18_3856,33,99.52,1,1941 Chevrolet Special Deluxe Cabriolet,"3,284.16",198,Auto-Moto Classics Inc.,USA,Brickhaven,Shipped,Leslie,Taylor,MA,Exoto Designs,16-Jun-03,8284.16
10131,S700_2466,40,86.76,1,America West Airlines B757-200,"3,470.40",447,Gift Ideas Corp.,USA,Glendale,Shipped,Dan,Lewis,CT,Motor City Art Classics,16-Jun-03,8470.4
10132,S700_3167,36,80,1,F/A 18 Hornet 1/72,"2,880.00",323,"Down Under Souveniers, Inc",New Zealand,Auckland,Shipped,Mike,Graham,NULL,Motor City Art Classics,25-Jun-03,7880
10133,S32_1374,23,80.91,1,1997 BMW F650 ST,"1,860.93",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Exoto Designs,27-Jun-03,6860.93
10134,S12_2823,20,131.04,1,2002 Suzuki XREO,"2,620.80",250,Lyon Souveniers,France,Paris,Shipped,Daniel,Da Silva,NULL,Unimax Art Galleries,1-Jul-03,7620.8
10135,S24_2972,20,34.36,1,1982 Lamborghini Diablo,687.20,124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Second Gear Diecast,2-Jul-03,5687.2
10136,S18_1984,36,120.91,1,1995 Honda Civic,"4,352.76",242,Alpha Cognac,France,Toulouse,Shipped,Annette,Roulet,NULL,Min Lin Diecast,4-Jul-03,9352.76
10137,S24_1628,26,40.25,1,1966 Shelby Cobra 427 S/C,"1,046.50",353,Reims Collectables,France,Reims,Shipped,Paul,Henriot,NULL,Carousel DieCast Legends,10-Jul-03,6046.5
10138,S24_2022,33,38.53,1,1938 Cadillac V-16 Presidential Limousine,"1,271.49",496,Kelly's Gift Shop,New Zealand,Auckland,Shipped,Tony,Snowden,NULL,Classic Metal Creations,7-Jul-03,6271.49
10139,S18_2949,46,91.18,1,1913 Ford Model T Speedster,"4,194.28",282,Souveniers And Things Co.,Australia,Chatswood,Shipped,Adrian,Huxley,NSW,Carousel DieCast Legends,16-Jul-03,9194.28
10140,S24_2300,47,118.84,1,1962 Volkswagen Microbus,"5,585.48",161,Technics Stores Inc.,USA,Burlingame,Shipped,Juri,Hashimoto,CA,Autoart Studio Design,24-Jul-03,10585.48
10141,S24_4048,40,104.09,1,1992 Porsche Cayenne Turbo Silver,"4,163.60",334,Suominen Souveniers,Finland,Espoo,Shipped,Kalle,Suominen,NULL,Exoto Designs,1-Aug-03,9163.6
10142,S24_3151,49,74.35,1,1912 Ford Model T Delivery Wagon,"3,643.15",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Min Lin Diecast,8-Aug-03,8643.15
10143,S50_1341,34,34.91,1,1930 Buick Marquette Phaeton,"1,186.94",320,Mini Creations Ltd.,USA,New Bedford,Shipped,Wing,Huang,MA,Studio M Art Models,10-Aug-03,6186.94
10144,S32_4289,20,56.41,1,1928 Ford Phaeton Deluxe,"1,128.20",381,Royale Belge,Belgium,Charleroi,Shipped,Pascale,Cartrain,NULL,Highway 66 Mini Classics,13-Aug-03,6128.2
10145,S32_2206,31,39.43,1,1982 Ducati 996 R,"1,222.33",205,Toys4GrownUps.com,USA,Pasadena,Shipped,Julie,Young,CA,Gearbox Collectibles,25-Aug-03,6222.33
10146,S18_4721,29,130.94,1,1957 Corvette Convertible,"3,797.26",447,Gift Ideas Corp.,USA,Glendale,Shipped,Dan,Lewis,CT,Classic Metal Creations,3-Sep-03,8797.26
10147,S24_2972,25,33.23,1,1982 Lamborghini Diablo,830.75,379,Collectables For Less Inc.,USA,Brickhaven,Shipped,Allen,Nelson,MA,Second Gear Diecast,5-Sep-03,5830.75
10148,S18_4409,34,83.75,1,1932 Alfa Romeo 8C2300 Spider Sport,"2,847.50",276,"Anna's Decorations, Ltd",Australia,North Sydney,Shipped,Anna,O'Hara,NSW,Exoto Designs,11-Sep-03,7847.5
10149,S24_4258,20,90.57,1,1936 Chrysler Airflow,"1,811.40",487,Signal Collectibles Ltd.,USA,Brisbane,Shipped,Sue,Taylor,CA,Second Gear Diecast,12-Sep-03,6811.4
10150,S10_4962,20,121.15,1,1962 LanciaA Delta 16V,"2,423.00",148,"Dragon Souveniers, Ltd.",Singapore,Singapore,Shipped,Eric,Natividad,NULL,Second Gear Diecast,19-Sep-03,7423
10151,S50_1392,26,108.81,1,Diamond T620 Semi-Skirted Tanker,"2,829.06",311,"Oulu Toy Supplies, Inc.",Finland,Oulu,Shipped,Pirkko,Koskitalo,NULL,Highway 66 Mini Classics,21-Sep-03,7829.06
10152,S18_4027,35,117.77,1,1970 Triumph Spitfire,"4,121.95",333,"Australian Gift Network, Co",Australia,South Brisbane,Shipped,Ben,Calaghan,Queensland,Min Lin Diecast,25-Sep-03,9121.95
10153,S700_1138,43,58,1,The Schooner Bluenose,"2,494.00",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Autoart Studio Design,28-Sep-03,7494
10154,S700_2610,36,59.27,1,The USS Constitution Ship,"2,133.72",219,Boards & Toys Co.,USA,Glendale,Shipped,Mary,Young,CA,Red Start Diecast,2-Oct-03,7133.72
10155,S700_3167,43,76.8,1,F/A 18 Hornet 1/72,"3,302.40",186,"Toys of Finland, Co.",Finland,Helsinki,Shipped,Matti,Karttunen,NULL,Motor City Art Classics,6-Oct-03,8302.4
10156,S50_1341,20,43.64,1,1930 Buick Marquette Phaeton,872.80,141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Studio M Art Models,8-Oct-03,5872.8
10157,S32_1374,34,83.91,1,1997 BMW F650 ST,"2,852.94",473,Frau da Collezione,Italy,Milan,Shipped,Franco,Ricotti,NULL,Exoto Designs,9-Oct-03,7852.94
10158,S24_2000,22,67.79,1,1960 BSA Gold Star DBD34,"1,491.38",121,Baane Mini Imports,Norway,Stavern,Shipped,Jonas,Bergulfsen,NULL,Highway 66 Mini Classics,10-Oct-03,6491.38
10159,S24_3371,50,49.6,1,1971 Alpine Renault 1600s,"2,480.00",321,Corporate Gift Ideas Co.,USA,San Francisco,Shipped,Julie,Brown,CA,Welly Diecast Productions,10-Oct-03,7480
10160,S18_3232,20,140.55,1,1992 Ferrari 360 Spider red,"2,811.00",347,"Men 'R' US Retailers, Ltd.",USA,Los Angeles,Shipped,Brian,Chandler,CA,Unimax Art Galleries,11-Oct-03,7811
10161,S18_4933,25,62.72,1,1957 Ford Thunderbird,"1,568.00",227,Heintze Collectables,Denmark,Århus,Shipped,Palle,Ibsen,NULL,Studio M Art Models,17-Oct-03,6568
10162,S18_1367,45,45.28,1,1936 Mercedes-Benz 500K Special Roadster,"2,037.60",321,Corporate Gift Ideas Co.,USA,San Francisco,Shipped,Julie,Brown,CA,Studio M Art Models,18-Oct-03,7037.6
10163,S10_1949,21,212.16,1,1952 Alpine Renault 1300,"4,455.36",424,Classic Legends Inc.,USA,NYC,Shipped,Maria,Hernandez,NY,Classic Metal Creations,20-Oct-03,9455.36
10164,S32_1268,24,91.49,1,1980’s GM Manhattan Express,"2,195.76",452,Mini Auto Werke,Austria,Graz,Resolved,Roland,Mendel,NULL,Motor City Art Classics,21-Oct-03,7195.76
10165,S18_3259,50,84.71,1,Collectable Wooden Train,"4,235.50",148,"Dragon Souveniers, Ltd.",Singapore,Singapore,Shipped,Eric,Natividad,NULL,Carousel DieCast Legends,22-Oct-03,9235.5
10166,S18_4522,26,72.85,1,1904 Buick Runabout,"1,894.10",462,FunGiftIdeas.com,USA,New Bedford,Shipped,Violeta,Benitez,MA,Exoto Designs,21-Oct-03,6894.1
10167,S18_1662,43,141.92,1,1980s Black Hawk Helicopter,"6,102.56",448,Scandinavian Gift Ideas,Sweden,Bräcke,Cancelled,Martha,Larsson,NULL,Red Start Diecast,23-Oct-03,11102.56
10168,S10_1678,36,94.74,1,1969 Harley Davidson Ultimate Chopper,"3,410.64",161,Technics Stores Inc.,USA,Burlingame,Shipped,Juri,Hashimoto,CA,Min Lin Diecast,28-Oct-03,8410.64
10169,S24_3371,34,53.27,1,1971 Alpine Renault 1600s,"1,811.18",276,"Anna's Decorations, Ltd",Australia,North Sydney,Shipped,Anna,O'Hara,NSW,Welly Diecast Productions,4-Nov-03,6811.18
10170,S24_3856,34,130.6,1,1956 Porsche 356A Coupe,"4,440.40",452,Mini Auto Werke,Austria,Graz,Shipped,Roland,Mendel,NULL,Classic Metal Creations,4-Nov-03,9440.4
10171,S18_1984,35,128.03,1,1995 Honda Civic,"4,481.05",233,Québec Home Shopping Network,Canada,Montréal,Shipped,Jean,Fresnière,Québec,Min Lin Diecast,5-Nov-03,9481.05
10172,S24_2766,22,79.97,1,1949 Jaguar XK 120,"1,759.34",175,Gift Depot Inc.,USA,Bridgewater,Shipped,Julie,King,CT,Classic Metal Creations,5-Nov-03,6759.34
10173,S18_3136,31,86.92,1,18th Century Vintage Horse Carriage,"2,694.52",278,Rovelli Gifts,Italy,Bergamo,Shipped,Giovanni,Rovelli,NULL,Red Start Diecast,5-Nov-03,7694.52
10174,S12_1666,43,113.44,1,1958 Setra Bus,"4,877.92",333,"Australian Gift Network, Co",Australia,South Brisbane,Shipped,Ben,Calaghan,Queensland,Welly Diecast Productions,6-Nov-03,9877.92
10175,S12_4473,26,109.02,1,1957 Chevy Pickup,"2,834.52",324,"Stylish Desk Decors, Co.",UK,London,Shipped,Ann,Brown,NULL,Exoto Designs,6-Nov-03,7834.52
10176,S12_3891,50,160.91,1,1969 Ford Falcon,"8,045.50",386,L'ordine Souveniers,Italy,Reggio Emilia,Shipped,Maurizio,Moroni,NULL,Second Gear Diecast,6-Nov-03,13045.5
10177,S700_2610,32,64.33,1,The USS Constitution Ship,"2,058.56",344,CAF Imports,Spain,Madrid,Shipped,Jesus,Fernandez,NULL,Red Start Diecast,7-Nov-03,7058.56
10178,S700_2466,22,91.74,1,America West Airlines B757-200,"2,018.28",242,Alpha Cognac,France,Toulouse,Shipped,Annette,Roulet,NULL,Motor City Art Classics,8-Nov-03,7018.28
10179,S32_1374,45,86.9,1,1997 BMW F650 ST,"3,910.50",496,Kelly's Gift Shop,New Zealand,Auckland,Cancelled,Tony,Snowden,NULL,Exoto Designs,11-Nov-03,8910.5
10180,S24_4620,28,68.71,1,1961 Chevrolet Impala,"1,923.88",171,Daedalus Designs Imports,France,Lille,Shipped,Martine,Rancé,NULL,Classic Metal Creations,11-Nov-03,6923.88
10181,S24_1628,34,45.28,1,1966 Shelby Cobra 427 S/C,"1,539.52",167,Herkku Gifts,Norway,Bergen,Shipped,Veysel,Oeztan,NULL,Carousel DieCast Legends,12-Nov-03,6539.52
10182,S18_3320,33,86.31,1,1917 Maxwell Touring Car,"2,848.23",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Exoto Designs,12-Nov-03,7848.23
10183,S10_4962,28,127.06,1,1962 LanciaA Delta 16V,"3,557.68",339,"Classic Gift Ideas, Inc",USA,Philadelphia,Shipped,Francisca,Cervantes,PA,Second Gear Diecast,13-Nov-03,8557.68
10184,S32_3207,48,59.03,1,1950's Chicago Surface Lines Streetcar,"2,833.44",484,"Iberia Gift Imports, Corp.",Spain,Sevilla,Shipped,José Pedro,Roel,NULL,Gearbox Collectibles,14-Nov-03,7833.44
10185,S700_2610,39,61.44,1,The USS Constitution Ship,"2,396.16",320,Mini Creations Ltd.,USA,New Bedford,Shipped,Wing,Huang,MA,Red Start Diecast,14-Nov-03,7396.16
10186,S18_1662,32,137.19,1,1980s Black Hawk Helicopter,"4,390.08",489,"Double Decker Gift Stores, Ltd",UK,London,Shipped,Thomas,Smith,NULL,Red Start Diecast,14-Nov-03,9390.08
10187,S18_2581,45,70.12,1,P-51-D Mustang,"3,155.40",211,"King Kong Collectables, Co.",Hong Kong,Central Hong Kong,Shipped,Mike,Gao,NULL,Gearbox Collectibles,15-Nov-03,8155.4
10188,S10_1678,48,95.7,1,1969 Harley Davidson Ultimate Chopper,"4,593.60",167,Herkku Gifts,Norway,Bergen,Shipped,Veysel,Oeztan,NULL,Min Lin Diecast,18-Nov-03,9593.6
10189,S12_2823,28,138.57,1,2002 Suzuki XREO,"3,879.96",205,Toys4GrownUps.com,USA,Pasadena,Shipped,Julie,Young,CA,Unimax Art Galleries,18-Nov-03,8879.96
10190,S32_2206,46,38.62,1,1982 Ducati 996 R,"1,776.52",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Gearbox Collectibles,19-Nov-03,6776.52
10191,S12_3380,40,104.52,1,1968 Dodge Charger,"4,180.80",259,"Toms Spezialitäten, Ltd",Germany,Köln,Shipped,Henriette,Pfalzheim,NULL,Welly Diecast Productions,20-Nov-03,9180.8
10192,S24_2887,23,112.74,1,1952 Citroen-15CV,"2,593.02",363,Online Diecast Creations Co.,USA,Nashua,Shipped,Dorothy,Young,NH,Exoto Designs,20-Nov-03,7593.02
10193,S18_2949,28,87.13,1,1913 Ford Model T Speedster,"2,439.64",471,"Australian Collectables, Ltd",Australia,Glen Waverly,Shipped,Sean,Clenahan,Victoria,Carousel DieCast Legends,21-Nov-03,7439.64
10194,S24_2300,49,112.46,1,1962 Volkswagen Microbus,"5,510.54",146,"Saveley & Henriot, Co.",France,Lyon,Shipped,Mary,Saveley,NULL,Autoart Studio Design,25-Nov-03,10510.54
10195,S32_3207,33,59.03,1,1950's Chicago Surface Lines Streetcar,"1,947.99",319,Mini Classics,USA,White Plains,Shipped,Steve,Frick,NY,Gearbox Collectibles,25-Nov-03,6947.99
10196,S18_3140,49,127.03,1,1903 Ford Model A,"6,224.47",455,Super Scale Inc.,USA,New Haven,Shipped,Leslie,Murphy,CT,Unimax Art Galleries,26-Nov-03,11224.47
10197,S72_1253,29,39.73,1,Boeing X-32A JSF,"1,152.17",216,Enaco Distributors,Spain,Barcelona,Shipped,Eduardo,Saavedra,NULL,Motor City Art Classics,26-Nov-03,6152.17
10198,S700_2466,42,94.73,1,America West Airlines B757-200,"3,978.66",385,Cruz & Sons Co.,Philippines,Makati City,Shipped,Arnold,Cruz,NULL,Motor City Art Classics,27-Nov-03,8978.66
10199,S50_1341,29,37.97,1,1930 Buick Marquette Phaeton,"1,101.13",475,West Coast Collectables Co.,USA,Burbank,Shipped,Steve,Thompson,CA,Studio M Art Models,1-Dec-03,6101.13
10200,S32_1374,35,80.91,1,1997 BMW F650 ST,"2,831.85",211,"King Kong Collectables, Co.",Hong Kong,Central Hong Kong,Shipped,Mike,Gao,NULL,Exoto Designs,1-Dec-03,7831.85
10201,S12_2823,25,126.52,1,2002 Suzuki XREO,"3,163.00",129,Mini Wheels Co.,USA,San Francisco,Shipped,Julie,Murphy,CA,Unimax Art Galleries,1-Dec-03,8163
10202,S24_4620,50,75.18,1,1961 Chevrolet Impala,"3,759.00",357,GiftsForHim.com,New Zealand,Auckland,Shipped,Wales,MacKinlay,NULL,Classic Metal Creations,2-Dec-03,8759
10203,S18_3232,48,157.49,1,1992 Ferrari 360 Spider red,"7,559.52",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Unimax Art Galleries,2-Dec-03,12559.52
10204,S18_2325,26,119.5,1,1932 Model A Ford J-Coupe,"3,107.00",151,Muscle Machine Inc,USA,NYC,Shipped,Jeff,Young,NY,Autoart Studio Design,2-Dec-03,8107
10205,S18_1367,48,45.82,1,1936 Mercedes-Benz 500K Special Roadster,"2,199.36",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Studio M Art Models,3-Dec-03,7199.36
10206,S700_2824,33,89.01,1,1982 Camaro Z28,"2,937.33",202,Canadian Gift Exchange Network,Canada,Vancouver,Shipped,Yoshi,Tamuri,BC,Carousel DieCast Legends,5-Dec-03,7937.33
10207,S18_4027,40,143.62,1,1970 Triumph Spitfire,"5,744.80",495,Diecast Collectables,USA,Boston,Shipped,Valarie,Franco,MA,Min Lin Diecast,9-Dec-03,10744.8
10208,S700_2610,46,63.61,1,The USS Constitution Ship,"2,926.06",146,"Saveley & Henriot, Co.",France,Lyon,Shipped,Mary,Saveley,NULL,Red Start Diecast,2-Jan-04,7926.06
10209,S24_2841,43,66.45,1,1900s Vintage Bi-Plane,"2,857.35",347,"Men 'R' US Retailers, Ltd.",USA,Los Angeles,Shipped,Brian,Chandler,CA,Autoart Studio Design,9-Jan-04,7857.35
10210,S10_4698,34,189.79,1,2003 Harley-Davidson Eagle Drag Bike,"6,452.86",177,Osaka Souveniers Co.,Japan,Kita-ku,Shipped,Mory,Kentary,Osaka,Red Start Diecast,12-Jan-04,11452.86
10211,S24_3371,48,52.66,1,1971 Alpine Renault 1600s,"2,527.68",406,Auto Canal+ Petit,France,Paris,Shipped,Dominique,Perrier,NULL,Welly Diecast Productions,15-Jan-04,7527.68
10212,S24_2766,45,81.78,1,1949 Jaguar XK 120,"3,680.10",141,Euro+ Shopping Channel,Spain,Madrid,Shipped,Diego,Freyre,NULL,Classic Metal Creations,16-Jan-04,8680.1
10213,S18_4409,38,84.67,1,1932 Alfa Romeo 8C2300 Spider Sport,"3,217.46",489,"Double Decker Gift Stores, Ltd",UK,London,Shipped,Thomas,Smith,NULL,Exoto Designs,22-Jan-04,8217.46
10214,S18_2795,50,167.06,1,1928 Mercedes-Benz SSK,"8,353.00",458,"Corrida Auto Replicas, Ltd",Spain,Madrid,Shipped,Martín,Sommer,NULL,Gearbox Collectibles,26-Jan-04,13353
10215,S18_4668,46,42.76,1,1939 Cadillac Limousine,"1,966.96",475,West Coast Collectables Co.,USA,Burbank,Shipped,Steve,Thompson,CA,Studio M Art Models,29-Jan-04,6966.96
10216,S12_1666,43,133.94,1,1958 Setra Bus,"5,759.42",256,Auto Associés & Cie.,France,Versailles,Shipped,Daniel,Tonini,NULL,Welly Diecast Productions,2-Feb-04,10759.42
10217,S24_2300,28,103.51,1,1962 Volkswagen Microbus,"2,898.28",166,Handji Gifts& Co,Singapore,Singapore,Shipped,Wendy,Victorino,NULL,Autoart Studio Design,4-Feb-04,7898.28
10218,S18_2319,22,110.46,1,1964 Mercedes Tour Bus,"2,430.12",473,Frau da Collezione,Italy,Milan,Shipped,Franco,Ricotti,NULL,Unimax Art Galleries,9-Feb-04,7430.12
10219,S18_2238,43,132.62,1,1998 Chrysler Plymouth Prowler,"5,702.66",487,Signal Collectibles Ltd.,USA,Brisbane,Shipped,Sue,Taylor,CA,Gearbox Collectibles,10-Feb-04,10702.66
10220,S12_3891,27,166.1,1,1969 Ford Falcon,"4,484.70",189,"Clover Collections, Co.",Ireland,Dublin,Shipped,Dean,Cassidy,NULL,Second Gear Diecast,12-Feb-04,9484.7
10221,S24_2011,49,113.06,1,18th century schooner,"5,539.94",314,Petit Auto,Belgium,Bruxelles,Shipped,Catherine,Dewey,NULL,Carousel DieCast Legends,18-Feb-04,10539.94
10222,S700_2466,37,90.75,1,America West Airlines B757-200,"3,357.75",239,Collectable Mini Designs Co.,USA,San Diego,Shipped,Valarie,Thompson,CA,Motor City Art Classics,19-Feb-04,8357.75
10223,S10_1678,37,80.39,1,1969 Harley Davidson Ultimate Chopper,"2,974.43",114,"Australian Collectors, Co.",Australia,Melbourne,Shipped,Peter,Ferguson,Victoria,Min Lin Diecast,20-Feb-04,7974.43
10224,S18_3782,38,57.2,1,1957 Vespa GS150,"2,173.60",171,Daedalus Designs Imports,France,Lille,Shipped,Martine,Rancé,NULL,Studio M Art Models,21-Feb-04,7173.6
10225,S18_1129,32,116.06,1,1993 Mazda RX-7,"3,713.92",298,"Vida Sport, Ltd",Switzerland,Genève,Shipped,Mihael,Holz,NULL,Highway 66 Mini Classics,22-Feb-04,8713.92
10226,S24_1046,21,65.41,1,1970 Chevy Chevelle SS 454,"1,373.61",239,Collectable Mini Designs Co.,USA,San Diego,Shipped,Valarie,Thompson,CA,Unimax Art Galleries,26-Feb-04,6373.61
10227,S18_3320,33,99.21,1,1917 Maxwell Touring Car,"3,273.93",146,"Saveley & Henriot, Co.",France,Lyon,Shipped,Mary,Saveley,NULL,Exoto Designs,2-Mar-04,8273.93
10228,S18_1097,32,100.34,1,1940 Ford Pickup Truck,"3,210.88",173,Cambridge Collectables Co.,USA,Cambridge,Shipped,Jerry,Tseng,MA,Studio M Art Models,10-Mar-04,8210.88
10229,S12_4473,36,95.99,1,1957 Chevy Pickup,"3,455.64",124,Mini Gifts Distributors Ltd.,USA,San Rafael,Shipped,Susan,Nelson,CA,Exoto Designs,11-Mar-04,8455.64
10230,S12_3148,43,128.42,1,1969 Corvair Monza,"5,522.06",128,"Blauer See Auto, Co.",Germany,Frankfurt,Shipped,Roland,Keitel,NULL,Welly Diecast Productions,15-Mar-04,10522.06
10231,S12_3891,49,147.07,1,1969 Ford Falcon,"7,206.43",344,CAF Imports,Spain,Madrid,Shipped,Jesus,Fernandez,NULL,Second Gear Diecast,19-Mar-04,12206.43
10232,S700_3505,48,86.15,1,The Titanic,"4,135.20",240,giftsbymail.co.uk,UK,Cowes,Shipped,Helen,Bennett,Isle of Wight,Carousel DieCast Legends,20-Mar-04,9135.2
10233,S700_2610,29,67.94,1,The USS Constitution Ship,"1,970.26",328,Tekni Collectables Inc.,USA,Newark,Shipped,William,Brown,NJ,Red Start Diecast,29-Mar-04,6970.26
